code|name|text
AP011|Corn yellow flour|Corn yellow flour contains nutrients such as 1.2 g zat abu, 12.0 g zat air, 2.4 mg zat besi, 0 mcg zat beta-karoten, 355 zat energi, 256 mg zat fosfor, 24.4 mg zat kalium, 10 mg zat kalsium, 73.7 g zat karbohidrat, 510 mcg zat karoten total, 3.9 g zat lemak, 11 mg zat natrium, 0.3 mg zat niasin, 9.2 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 1.7 mg zat seng, 7.2 g zat serat, 0.23 mg zat tembaga, 0.38 mg zat thiamin dan 0 mg zat vitamin c. 
AP012|Corn yellow shelled boiled|Corn yellow shelled boiled contains nutrients such as 0.6 g zat abu, 63.7 g zat air, 0.5 mg zat besi, 818 mcg zat beta-karoten, 154 zat energi, 171 mg zat fosfor, 56.4 mg zat kalium, 7 mg zat kalsium, 28.4 g zat karbohidrat, 234 mcg zat karoten total, 3.5 g zat lemak, 5 mg zat natrium, 1.7 mg zat niasin, 3.8 g zat protein, 0 mcg zat retinol, 0.10 mg zat riboflavin, 4.4 mg zat seng, 0.7 g zat serat, 0.10 mg zat tembaga, 0.08 mg zat thiamin dan 0 mg zat vitamin c. 
AP013|Corn white flour|Corn white flour contains nutrients such as 1.2 g zat abu, 12.0 g zat air, 2.4 mg zat besi, 0 mcg zat beta-karoten, 355 zat energi, 256 mg zat fosfor, 24.4 mg zat kalium, 10 mg zat kalsium, 73.7 g zat karbohidrat, 0 mcg zat karoten total, 3.9 g zat lemak, 11 mg zat natrium, 0.3 mg zat niasin, 9.2 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 1.7 mg zat seng, 7.2 g zat serat, 0.23 mg zat tembaga, 0.38 mg zat thiamin dan 0 mg zat vitamin c. 
AP014|Glutinous rice ketupat|Glutinous rice ketupat contains nutrients such as 0.9 g zat abu, 52.0 g zat air, 1.0 mg zat besi, 0 mcg zat beta-karoten, 212 zat energi, 46 mg zat fosfor, 0 mg zat kalium, 8 mg zat kalsium, 38.6 g zat karbohidrat, 0 mcg zat karoten total, 4.6 g zat lemak, 0 mg zat natrium, 0.2 mg zat niasin, 4.0 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0.2 g zat serat, 0 mg zat tembaga, 0.07 mg zat thiamin dan 0 mg zat vitamin c. 
AP015|Glutinous rice black cooked|Glutinous rice black cooked contains nutrients such as 0.6 g zat abu, 56.9 g zat air, 1.7 mg zat besi, 0 mcg zat beta-karoten, 181 zat energi, 144 mg zat fosfor, 18.4 mg zat kalium, 9 mg zat kalsium, 37.3 g zat karbohidrat, 0 mcg zat karoten total, 1.2 g zat lemak, 9 mg zat natrium, 0.5 mg zat niasin, 4.0 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.7 mg zat seng, 0.3 g zat serat, 0.10 mg zat tembaga, 0.06 mg zat thiamin dan 0 mg zat vitamin c. 
AP016|Glutinous rice black tapai|Glutinous rice black tapai contains nutrients such as 0.6 g zat abu, 50.2 g zat air, 1.6 mg zat besi, 0 mcg zat beta-karoten, 166 zat energi, 106 mg zat fosfor, 12.0 mg zat kalium, 8 mg zat kalsium, 34.4 g zat karbohidrat, 0 mcg zat karoten total, 1.0 g zat lemak, 5 mg zat natrium, 0 mg zat niasin, 3.8 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0.3 g zat serat, 0 mg zat tembaga, 0.02 mg zat thiamin dan 0 mg zat vitamin c. 
AP017|Glutinous rice white cooked|Glutinous rice white cooked contains nutrients such as 0.2 g zat abu, 60.7 g zat air, 0.7 mg zat besi, 0 mcg zat beta-karoten, 163 zat energi, 55 mg zat fosfor, 16.8 mg zat kalium, 4 mg zat kalsium, 35.7 g zat karbohidrat, 0 mcg zat karoten total, 0.4 g zat lemak, 8 mg zat natrium, 0.5 mg zat niasin, 3.0 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.7 mg zat seng, 0.2 g zat serat, 0.10 mg zat tembaga, 0.07 mg zat thiamin dan 0 mg zat vitamin c. 
AP018|Glutinous rice white tapai|Glutinous rice white tapai contains nutrients such as 0.1 g zat abu, 58.9 g zat air, 0.5 mg zat besi, 0 mcg zat beta-karoten, 172 zat energi, 35 mg zat fosfor, 0 mg zat kalium, 6 mg zat kalsium, 37.5 g zat karbohidrat, 0 mcg zat karoten total, 0.5 g zat lemak, 1 mg zat natrium, 0.2 mg zat niasin, 3.0 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0 mg zat seng, 0.6 g zat serat, 0 mg zat tembaga, 0.04 mg zat thiamin dan 0 mg zat vitamin c. 
AP019|Cornstarch|Cornstarch contains nutrients such as 0.7 g zat abu, 14.0 g zat air, 1.5 mg zat besi, 0 mcg zat beta-karoten, 341 zat energi, 30 mg zat fosfor, 9.0 mg zat kalium, 20 mg zat kalsium, 85.0 g zat karbohidrat, 0 mcg zat karoten total, 0.0 g zat lemak, 6 mg zat natrium, 1.3 mg zat niasin, 0.3 g zat protein, 0 mcg zat retinol, 0.09 mg zat riboflavin, 1.6 mg zat seng, 7.0 g zat serat, 0.22 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP020|Macaroni raw|Macaroni raw contains nutrients such as 2.5 g zat abu, 11.7 g zat air, 0.3 mg zat besi, 0 mcg zat beta-karoten, 353 zat energi, 80 mg zat fosfor, 0.0 mg zat kalium, 20 mg zat kalsium, 78.7 g zat karbohidrat, 0 mcg zat karoten total, 0.4 g zat lemak, 5 mg zat natrium, 2.2 mg zat niasin, 8.7 g zat protein, 0 mcg zat retinol, 0.13 mg zat riboflavin, 1.4 mg zat seng, 4.9 g zat serat, 0.28 mg zat tembaga, 0.10 mg zat thiamin dan 0 mg zat vitamin c. 
AP021|Noodle wet|Noodle wet contains nutrients such as 2.1 g zat abu, 80.0 g zat air, 6.8 mg zat besi, 0 mcg zat beta-karoten, 88 zat energi, 13 mg zat fosfor, 13.5 mg zat kalium, 14 mg zat kalsium, 14.0 g zat karbohidrat, 0 mcg zat karoten total, 3.3 g zat lemak, 63 mg zat natrium, 0.0 mg zat niasin, 0.6 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.4 mg zat seng, 0.1 g zat serat, 0.06 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP022|Noodle dried|Noodle dried contains nutrients such as 1.4 g zat abu, 10.6 g zat air, 3.9 mg zat besi, 0 mcg zat beta-karoten, 339 zat energi, 143 mg zat fosfor, 83.0 mg zat kalium, 31 mg zat kalsium, 6.3 g zat karbohidrat, 0 mcg zat karoten total, 1.7 g zat lemak, 760 mg zat natrium, 2.2 mg zat niasin, 10.0 g zat protein, 0 mcg zat retinol, 0.08 mg zat riboflavin, 1.9 mg zat seng, 0.4 g zat serat, 0.29 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP023|Misua|Misua contains nutrients such as 1.3 g zat abu, 10.0 g zat air, 8.7 mg zat besi, 0 mcg zat beta-karoten, 345 zat energi, 120 mg zat fosfor, 44.0 mg zat kalium, 52 mg zat kalsium, 78.0 g zat karbohidrat, 0 mcg zat karoten total, 2.2 g zat lemak, 3064 mg zat natrium, 0.2 mg zat niasin, 8.5 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 0.0 mg zat seng, 0.5 g zat serat, 0.08 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP024|Bread white|Bread white contains nutrients such as 0.8 g zat abu, 40.0 g zat air, 1.5 mg zat besi, 0 mcg zat beta-karoten, 248 zat energi, 95 mg zat fosfor, 91.0 mg zat kalium, 10 mg zat kalsium, 50.0 g zat karbohidrat, 0 mcg zat karoten total, 1.2 g zat lemak, 530 mg zat natrium, 2.4 mg zat niasin, 8.0 g zat protein, 0 mcg zat retinol, 0.29 mg zat riboflavin, 0.9 mg zat seng, 9.1 g zat serat, 0.15 mg zat tembaga, 0.10 mg zat thiamin dan 0 mg zat vitamin c. 
AP025|Wheat flour|Wheat flour contains nutrients such as 1.0 g zat abu, 11.8 g zat air, 1.3 mg zat besi, 0 mcg zat beta-karoten, 333 zat energi, 150 mg zat fosfor, 0.0 mg zat kalium, 22 mg zat kalsium, 77.2 g zat karbohidrat, 0 mcg zat karoten total, 1.0 g zat lemak, 2 mg zat natrium, 1.0 mg zat niasin, 9.0 g zat protein, 0 mcg zat retinol, 0.07 mg zat riboflavin, 2.8 mg zat seng, 0.3 g zat serat, 0.00 mg zat tembaga, 0.10 mg zat thiamin dan 0 mg zat vitamin c. 
AP026|Amparan tatak|Amparan tatak contains nutrients such as 0.8 g zat abu, 58.4 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 191 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 34.0 g zat karbohidrat, 0 mcg zat karoten total, 5.5 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 1.3 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP027|Apang steamed kue|Apang steamed kue contains nutrients such as 0.5 g zat abu, 49.5 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 202 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 46.7 g zat karbohidrat, 0 mcg zat karoten total, 0.3 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 3.0 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP028|Apem kue|Apem kue contains nutrients such as 0.5 g zat abu, 63.1 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 148 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 33.9 g zat karbohidrat, 0 mcg zat karoten total, 0.5 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 2.0 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP029|Biscuits|Biscuits contains nutrients such as 1.4 g zat abu, 2.2 g zat air, 2.7 mg zat besi, 14 mcg zat beta-karoten, 458 zat energi, 87 mg zat fosfor, 20.3 mg zat kalium, 62 mg zat kalsium, 75.1 g zat karbohidrat, 0 mcg zat karoten total, 14.4 g zat lemak, 241 mg zat natrium, 1.4 mg zat niasin, 6.9 g zat protein, 0 mcg zat retinol, 0.15 mg zat riboflavin, 0.6 mg zat seng, 2.1 g zat serat, 0.16 mg zat tembaga, 0.09 mg zat thiamin dan 0 mg zat vitamin c. 
AP030|Bakpia kue|Bakpia kue contains nutrients such as 1.6 g zat abu, 38.9 g zat air, 4.5 mg zat besi, 0 mcg zat beta-karoten, 272 zat energi, 117 mg zat fosfor, 0 mg zat kalium, 194 mg zat kalsium, 44.1 g zat karbohidrat, 1392 mcg zat karoten total, 6.7 g zat lemak, 0 mg zat natrium, 2.9 mg zat niasin, 8.7 g zat protein, 0 mcg zat retinol, 1.00 mg zat riboflavin, 0 mg zat seng, 0.9 g zat serat, 0 mg zat tembaga, 0.31 mg zat thiamin dan 0 mg zat vitamin c. 
AP031|Bakwan|Bakwan contains nutrients such as 2.1 g zat abu, 40.5 g zat air, 7.0 mg zat besi, 0 mcg zat beta-karoten, 280 zat energi, 79 mg zat fosfor, 0 mg zat kalium, 204 mg zat kalsium, 39.0 g zat karbohidrat, 0 mcg zat karoten total, 10.2 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 8.2 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 3.4 g zat serat, 0 mg zat tembaga, 0.08 mg zat thiamin dan 0 mg zat vitamin c. 
AP032|Bantal|Bantal contains nutrients such as 0.6 g zat abu, 52.3 g zat air, 0.4 mg zat besi, 0 mcg zat beta-karoten, 190 zat energi, 0 mg zat fosfor, 84.0 mg zat kalium, 9 mg zat kalsium, 43.5 g zat karbohidrat, 0 mcg zat karoten total, 0.3 g zat lemak, 164 mg zat natrium, 3.6 mg zat niasin, 3.3 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 0.9 mg zat seng, 3.4 g zat serat, 0.20 mg zat tembaga, 0.27 mg zat thiamin dan 0 mg zat vitamin c. 
AP033|Baruasa|Baruasa contains nutrients such as 0.7 g zat abu, 5.3 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 417 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 79.3 g zat karbohidrat, 0 mcg zat karoten total, 8.2 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 6.5 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP034|Batar daan|Batar daan contains nutrients such as 0.7 g zat abu, 75.3 g zat air, 0.6 mg zat besi, 0 mcg zat beta-karoten, 107 zat energi, 30 mg zat fosfor, 90.0 mg zat kalium, 20 mg zat kalsium, 19.6 g zat karbohidrat, 0 mcg zat karoten total, 2.2 g zat lemak, 200 mg zat natrium, 0 mg zat niasin, 2.2 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0.10 mg zat tembaga, 0.18 mg zat thiamin dan 0 mg zat vitamin c. 
AP035|Bika ambon|Bika ambon contains nutrients such as 0.6 g zat abu, 51.5 g zat air, 1.8 mg zat besi, 0 mcg zat beta-karoten, 199 zat energi, 28 mg zat fosfor, 0 mg zat kalium, 45 mg zat kalsium, 44.4 g zat karbohidrat, 408 mcg zat karoten total, 1.5 g zat lemak, 0 mg zat natrium, 0.0 mg zat niasin, 2.1 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0.3 g zat serat, 0 mg zat tembaga, 0.10 mg zat thiamin dan 0 mg zat vitamin c. 
AP036|Bingka|Bingka contains nutrients such as 0.6 g zat abu, 44.4 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 273 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 39.1 g zat karbohidrat, 0 mcg zat karoten total, 10.6 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 5.3 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP037|Bobengka|Bobengka contains nutrients such as 0.6 g zat abu, 46.3 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 225 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 45.2 g zat karbohidrat, 0 mcg zat karoten total, 2.6 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 5.3 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP038|Bolu peca|Bolu peca contains nutrients such as 0.9 g zat abu, 55.6 g zat air, 0.0 mg zat besi, 0 mcg zat beta-karoten, 197 zat energi, 0 mg zat fosfor, 0.0 mg zat kalium, 0 mg zat kalsium, 35.6 g zat karbohidrat, 0 mcg zat karoten total, 4.6 g zat lemak, 0 mg zat natrium, 0.0 mg zat niasin, 3.3 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP039|Brem|Brem contains nutrients such as 0.9 g zat abu, 37.4 g zat air, 2.0 mg zat besi, 0 mcg zat beta-karoten, 249 zat energi, 86 mg zat fosfor, 0 mg zat kalium, 198 mg zat kalsium, 58.0 g zat karbohidrat, 240 mcg zat karoten total, 0.4 g zat lemak, 0 mg zat natrium, 0.0 mg zat niasin, 3.4 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0 mg zat seng, 0.0 g zat serat, 0 mg zat tembaga, 0.34 mg zat thiamin dan 0 mg zat vitamin c. 
AP040|Tinotuan porridge (Manado)|Tinotuan porridge (Manado) contains nutrients such as 1.0 g zat abu, 80.9 g zat air, 0.4 mg zat besi, 1437 mcg zat beta-karoten, 156 zat energi, 20 mg zat fosfor, 164.0 mg zat kalium, 41 mg zat kalsium, 15.6 g zat karbohidrat, 0 mcg zat karoten total, 0.2 g zat lemak, 486 mg zat natrium, 0 mg zat niasin, 2.3 g zat protein, 0 mcg zat retinol, 0.04 mg zat riboflavin, 0.4 mg zat seng, 8.2 g zat serat, 0.30 mg zat tembaga, 0.10 mg zat thiamin dan 15 mg zat vitamin c. 
AP041|Tapai cake|Tapai cake contains nutrients such as 1.4 g zat abu, 32.2 g zat air, 2.6 mg zat besi, 0 mcg zat beta-karoten, 323 zat energi, 83 mg zat fosfor, 0 mg zat kalium, 131 mg zat kalsium, 50.1 g zat karbohidrat, 1872 mcg zat karoten total, 11.5 g zat lemak, 0 mg zat natrium, 0.3 mg zat niasin, 4.9 g zat protein, 26 mcg zat retinol, 0.16 mg zat riboflavin, 0 mg zat seng, 1.4 g zat serat, 0 mg zat tembaga, 0.38 mg zat thiamin dan 0 mg zat vitamin c. 
AP042|Cangkuning|Cangkuning contains nutrients such as 0.8 g zat abu, 57.5 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 204 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 31.4 g zat karbohidrat, 0 mcg zat karoten total, 7.5 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 2.8 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP043|Dodol bali|Dodol bali contains nutrients such as 1.8 g zat abu, 26.5 g zat air, 2.5 mg zat besi, 0 mcg zat beta-karoten, 298 zat energi, 76 mg zat fosfor, 0 mg zat kalium, 70 mg zat kalsium, 65.9 g zat karbohidrat, 496 mcg zat karoten total, 2.1 g zat lemak, 0 mg zat natrium, 2.5 mg zat niasin, 3.7 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0.4 g zat serat, 0 mg zat tembaga, 0.28 mg zat thiamin dan 0 mg zat vitamin c. 
AP044|Dodol galamai|Dodol galamai contains nutrients such as 1.2 g zat abu, 16.5 g zat air, 2.6 mg zat besi, 0 mcg zat beta-karoten, 348 zat energi, 144 mg zat fosfor, 76.0 mg zat kalium, 41 mg zat kalsium, 76.1 g zat karbohidrat, 0 mcg zat karoten total, 3.8 g zat lemak, 38 mg zat natrium, 1.8 mg zat niasin, 0.4 g zat protein, 0 mcg zat retinol, 0.06 mg zat riboflavin, 2.1 mg zat seng, 0.5 g zat serat, 0.30 mg zat tembaga, 0.03 mg zat thiamin dan 0 mg zat vitamin c. 
AP045|Dodol kedondong|Dodol kedondong contains nutrients such as 0.4 g zat abu, 26.4 g zat air, 2.3 mg zat besi, 0 mcg zat beta-karoten, 331 zat energi, 55 mg zat fosfor, 0 mg zat kalium, 90 mg zat kalsium, 63.8 g zat karbohidrat, 408 mcg zat karoten total, 7.6 g zat lemak, 0 mg zat natrium, 0.8 mg zat niasin, 1.9 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 1.0 g zat serat, 0 mg zat tembaga, 0.11 mg zat thiamin dan 5 mg zat vitamin c. 
AP046|Dodol manado|Dodol manado contains nutrients such as 1.2 g zat abu, 26.1 g zat air, 2.4 mg zat besi, 0 mcg zat beta-karoten, 373 zat energi, 142 mg zat fosfor, 72.0 mg zat kalium, 41 mg zat kalsium, 51.9 g zat karbohidrat, 0 mcg zat karoten total, 16.5 g zat lemak, 35 mg zat natrium, 2.1 mg zat niasin, 4.3 g zat protein, 0 mcg zat retinol, 0.06 mg zat riboflavin, 2.1 mg zat seng, 0.4 g zat serat, 0.30 mg zat tembaga, 0.04 mg zat thiamin dan 0 mg zat vitamin c. 
AP047|Rice emping|Rice emping contains nutrients such as 1.9 g zat abu, 13.6 g zat air, 0.3 mg zat besi, 0 mcg zat beta-karoten, 403 zat energi, 240 mg zat fosfor, 113.0 mg zat kalium, 11 mg zat kalsium, 85.3 g zat karbohidrat, 0 mcg zat karoten total, 2.2 g zat lemak, 1 mg zat natrium, 0 mg zat niasin, 10.6 g zat protein, 0 mcg zat retinol, 0.16 mg zat riboflavin, 2.4 mg zat seng, 0.2 g zat serat, 0.30 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP048|Gemblong|Gemblong contains nutrients such as 1.2 g zat abu, 36.2 g zat air, 3.3 mg zat besi, 0 mcg zat beta-karoten, 274 zat energi, 55 mg zat fosfor, 0 mg zat kalium, 69 mg zat kalsium, 55.5 g zat karbohidrat, 0 mcg zat karoten total, 5.4 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 1.7 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 2.2 g zat serat, 0 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP049|Gendar fried|Gendar fried contains nutrients such as 3.0 g zat abu, 30.4 g zat air, 1.6 mg zat besi, 0 mcg zat beta-karoten, 407 zat energi, 62 mg zat fosfor, 0 mg zat kalium, 216 mg zat kalsium, 32.0 g zat karbohidrat, 184 mcg zat karoten total, 28.2 g zat lemak, 0 mg zat natrium, 0.6 mg zat niasin, 6.4 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0 mg zat seng, 0.1 g zat serat, 0 mg zat tembaga, 0.16 mg zat thiamin dan 0 mg zat vitamin c. 
