code|name|Group|Type|abu|air|besi|beta-karoten|energi|fosfor|kalium|kalsium|karbohidrat|karoten total|lemak|natrium|niasin|protein|retinol|riboflavin|seng|serat|tembaga|thiamin|vitamin c
AP011|Corn yellow flour|Cereals|Processed/Products|1.2 g|12.0 g|2.4 mg|0 mcg|355|256 mg|24.4 mg|10 mg|73.7 g|510 mcg|3.9 g|11 mg|0.3 mg|9.2 g|0 mcg|0.02 mg|1.7 mg|7.2 g|0.23 mg|0.38 mg|0 mg
AP012|Corn yellow shelled boiled|Cereals|Processed/Products|0.6 g|63.7 g|0.5 mg|818 mcg|154|171 mg|56.4 mg|7 mg|28.4 g|234 mcg|3.5 g|5 mg|1.7 mg|3.8 g|0 mcg|0.10 mg|4.4 mg|0.7 g|0.10 mg|0.08 mg|0 mg
AP013|Corn white flour|Cereals|Processed/Products|1.2 g|12.0 g|2.4 mg|0 mcg|355|256 mg|24.4 mg|10 mg|73.7 g|0 mcg|3.9 g|11 mg|0.3 mg|9.2 g|0 mcg|0.02 mg|1.7 mg|7.2 g|0.23 mg|0.38 mg|0 mg
AP014|Glutinous rice ketupat|Cereals|Processed/Products|0.9 g|52.0 g|1.0 mg|0 mcg|212|46 mg|0 mg|8 mg|38.6 g|0 mcg|4.6 g|0 mg|0.2 mg|4.0 g|0 mcg|0 mg|0 mg|0.2 g|0 mg|0.07 mg|0 mg
AP015|Glutinous rice black cooked|Cereals|Processed/Products|0.6 g|56.9 g|1.7 mg|0 mcg|181|144 mg|18.4 mg|9 mg|37.3 g|0 mcg|1.2 g|9 mg|0.5 mg|4.0 g|0 mcg|0.00 mg|0.7 mg|0.3 g|0.10 mg|0.06 mg|0 mg
AP016|Glutinous rice black tapai|Cereals|Processed/Products|0.6 g|50.2 g|1.6 mg|0 mcg|166|106 mg|12.0 mg|8 mg|34.4 g|0 mcg|1.0 g|5 mg|0 mg|3.8 g|0 mcg|0 mg|0 mg|0.3 g|0 mg|0.02 mg|0 mg
AP017|Glutinous rice white cooked|Cereals|Processed/Products|0.2 g|60.7 g|0.7 mg|0 mcg|163|55 mg|16.8 mg|4 mg|35.7 g|0 mcg|0.4 g|8 mg|0.5 mg|3.0 g|0 mcg|0.00 mg|0.7 mg|0.2 g|0.10 mg|0.07 mg|0 mg
AP018|Glutinous rice white tapai|Cereals|Processed/Products|0.1 g|58.9 g|0.5 mg|0 mcg|172|35 mg|0 mg|6 mg|37.5 g|0 mcg|0.5 g|1 mg|0.2 mg|3.0 g|0 mcg|0.00 mg|0 mg|0.6 g|0 mg|0.04 mg|0 mg
AP019|Cornstarch|Cereals|Processed/Products|0.7 g|14.0 g|1.5 mg|0 mcg|341|30 mg|9.0 mg|20 mg|85.0 g|0 mcg|0.0 g|6 mg|1.3 mg|0.3 g|0 mcg|0.09 mg|1.6 mg|7.0 g|0.22 mg|0.00 mg|0 mg
AP020|Macaroni raw|Cereals|Processed/Products|2.5 g|11.7 g|0.3 mg|0 mcg|353|80 mg|0.0 mg|20 mg|78.7 g|0 mcg|0.4 g|5 mg|2.2 mg|8.7 g|0 mcg|0.13 mg|1.4 mg|4.9 g|0.28 mg|0.10 mg|0 mg
AP021|Noodle wet|Cereals|Processed/Products|2.1 g|80.0 g|6.8 mg|0 mcg|88|13 mg|13.5 mg|14 mg|14.0 g|0 mcg|3.3 g|63 mg|0.0 mg|0.6 g|0 mcg|0.00 mg|0.4 mg|0.1 g|0.06 mg|0.00 mg|0 mg
AP022|Noodle dried|Cereals|Processed/Products|1.4 g|10.6 g|3.9 mg|0 mcg|339|143 mg|83.0 mg|31 mg|6.3 g|0 mcg|1.7 g|760 mg|2.2 mg|10.0 g|0 mcg|0.08 mg|1.9 mg|0.4 g|0.29 mg|0.00 mg|0 mg
AP023|Misua|Cereals|Processed/Products|1.3 g|10.0 g|8.7 mg|0 mcg|345|120 mg|44.0 mg|52 mg|78.0 g|0 mcg|2.2 g|3064 mg|0.2 mg|8.5 g|0 mcg|0.02 mg|0.0 mg|0.5 g|0.08 mg|0.00 mg|0 mg
AP024|Bread white|Cereals|Processed/Products|0.8 g|40.0 g|1.5 mg|0 mcg|248|95 mg|91.0 mg|10 mg|50.0 g|0 mcg|1.2 g|530 mg|2.4 mg|8.0 g|0 mcg|0.29 mg|0.9 mg|9.1 g|0.15 mg|0.10 mg|0 mg
AP025|Wheat flour|Cereals|Processed/Products|1.0 g|11.8 g|1.3 mg|0 mcg|333|150 mg|0.0 mg|22 mg|77.2 g|0 mcg|1.0 g|2 mg|1.0 mg|9.0 g|0 mcg|0.07 mg|2.8 mg|0.3 g|0.00 mg|0.10 mg|0 mg
AP026|Amparan tatak|Cereals|Processed/Products|0.8 g|58.4 g|0 mg|0 mcg|191|0 mg|0 mg|0 mg|34.0 g|0 mcg|5.5 g|0 mg|0 mg|1.3 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP027|Apang steamed kue|Cereals|Processed/Products|0.5 g|49.5 g|0 mg|0 mcg|202|0 mg|0 mg|0 mg|46.7 g|0 mcg|0.3 g|0 mg|0 mg|3.0 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP028|Apem kue|Cereals|Processed/Products|0.5 g|63.1 g|0 mg|0 mcg|148|0 mg|0 mg|0 mg|33.9 g|0 mcg|0.5 g|0 mg|0 mg|2.0 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP029|Biscuits|Cereals|Processed/Products|1.4 g|2.2 g|2.7 mg|14 mcg|458|87 mg|20.3 mg|62 mg|75.1 g|0 mcg|14.4 g|241 mg|1.4 mg|6.9 g|0 mcg|0.15 mg|0.6 mg|2.1 g|0.16 mg|0.09 mg|0 mg
AP030|Bakpia kue|Cereals|Processed/Products|1.6 g|38.9 g|4.5 mg|0 mcg|272|117 mg|0 mg|194 mg|44.1 g|1392 mcg|6.7 g|0 mg|2.9 mg|8.7 g|0 mcg|1.00 mg|0 mg|0.9 g|0 mg|0.31 mg|0 mg
AP031|Bakwan|Cereals|Processed/Products|2.1 g|40.5 g|7.0 mg|0 mcg|280|79 mg|0 mg|204 mg|39.0 g|0 mcg|10.2 g|0 mg|0 mg|8.2 g|0 mcg|0 mg|0 mg|3.4 g|0 mg|0.08 mg|0 mg
AP032|Bantal|Cereals|Processed/Products|0.6 g|52.3 g|0.4 mg|0 mcg|190|0 mg|84.0 mg|9 mg|43.5 g|0 mcg|0.3 g|164 mg|3.6 mg|3.3 g|0 mcg|0.02 mg|0.9 mg|3.4 g|0.20 mg|0.27 mg|0 mg
AP033|Baruasa|Cereals|Processed/Products|0.7 g|5.3 g|0 mg|0 mcg|417|0 mg|0 mg|0 mg|79.3 g|0 mcg|8.2 g|0 mg|0 mg|6.5 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP034|Batar daan|Cereals|Processed/Products|0.7 g|75.3 g|0.6 mg|0 mcg|107|30 mg|90.0 mg|20 mg|19.6 g|0 mcg|2.2 g|200 mg|0 mg|2.2 g|0 mcg|0.02 mg|0 mg|0 g|0.10 mg|0.18 mg|0 mg
AP035|Bika ambon|Cereals|Processed/Products|0.6 g|51.5 g|1.8 mg|0 mcg|199|28 mg|0 mg|45 mg|44.4 g|408 mcg|1.5 g|0 mg|0.0 mg|2.1 g|0 mcg|0 mg|0 mg|0.3 g|0 mg|0.10 mg|0 mg
AP036|Bingka|Cereals|Processed/Products|0.6 g|44.4 g|0 mg|0 mcg|273|0 mg|0 mg|0 mg|39.1 g|0 mcg|10.6 g|0 mg|0 mg|5.3 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP037|Bobengka|Cereals|Processed/Products|0.6 g|46.3 g|0 mg|0 mcg|225|0 mg|0 mg|0 mg|45.2 g|0 mcg|2.6 g|0 mg|0 mg|5.3 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP038|Bolu peca|Cereals|Processed/Products|0.9 g|55.6 g|0.0 mg|0 mcg|197|0 mg|0.0 mg|0 mg|35.6 g|0 mcg|4.6 g|0 mg|0.0 mg|3.3 g|0 mcg|0.00 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP039|Brem|Cereals|Processed/Products|0.9 g|37.4 g|2.0 mg|0 mcg|249|86 mg|0 mg|198 mg|58.0 g|240 mcg|0.4 g|0 mg|0.0 mg|3.4 g|0 mcg|0.00 mg|0 mg|0.0 g|0 mg|0.34 mg|0 mg
AP040|Tinotuan porridge (Manado)|Cereals|Processed/Products|1.0 g|80.9 g|0.4 mg|1437 mcg|156|20 mg|164.0 mg|41 mg|15.6 g|0 mcg|0.2 g|486 mg|0 mg|2.3 g|0 mcg|0.04 mg|0.4 mg|8.2 g|0.30 mg|0.10 mg|15 mg
AP041|Tapai cake|Cereals|Processed/Products|1.4 g|32.2 g|2.6 mg|0 mcg|323|83 mg|0 mg|131 mg|50.1 g|1872 mcg|11.5 g|0 mg|0.3 mg|4.9 g|26 mcg|0.16 mg|0 mg|1.4 g|0 mg|0.38 mg|0 mg
AP042|Cangkuning|Cereals|Processed/Products|0.8 g|57.5 g|0 mg|0 mcg|204|0 mg|0 mg|0 mg|31.4 g|0 mcg|7.5 g|0 mg|0 mg|2.8 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP043|Dodol bali|Cereals|Processed/Products|1.8 g|26.5 g|2.5 mg|0 mcg|298|76 mg|0 mg|70 mg|65.9 g|496 mcg|2.1 g|0 mg|2.5 mg|3.7 g|0 mcg|0 mg|0 mg|0.4 g|0 mg|0.28 mg|0 mg
AP044|Dodol galamai|Cereals|Processed/Products|1.2 g|16.5 g|2.6 mg|0 mcg|348|144 mg|76.0 mg|41 mg|76.1 g|0 mcg|3.8 g|38 mg|1.8 mg|0.4 g|0 mcg|0.06 mg|2.1 mg|0.5 g|0.30 mg|0.03 mg|0 mg
AP045|Dodol kedondong|Cereals|Processed/Products|0.4 g|26.4 g|2.3 mg|0 mcg|331|55 mg|0 mg|90 mg|63.8 g|408 mcg|7.6 g|0 mg|0.8 mg|1.9 g|0 mcg|0 mg|0 mg|1.0 g|0 mg|0.11 mg|5 mg
AP046|Dodol manado|Cereals|Processed/Products|1.2 g|26.1 g|2.4 mg|0 mcg|373|142 mg|72.0 mg|41 mg|51.9 g|0 mcg|16.5 g|35 mg|2.1 mg|4.3 g|0 mcg|0.06 mg|2.1 mg|0.4 g|0.30 mg|0.04 mg|0 mg
AP047|Rice emping|Cereals|Processed/Products|1.9 g|13.6 g|0.3 mg|0 mcg|403|240 mg|113.0 mg|11 mg|85.3 g|0 mcg|2.2 g|1 mg|0 mg|10.6 g|0 mcg|0.16 mg|2.4 mg|0.2 g|0.30 mg|0.00 mg|0 mg
AP048|Gemblong|Cereals|Processed/Products|1.2 g|36.2 g|3.3 mg|0 mcg|274|55 mg|0 mg|69 mg|55.5 g|0 mcg|5.4 g|0 mg|0 mg|1.7 g|0 mcg|0 mg|0 mg|2.2 g|0 mg|0.00 mg|0 mg
AP049|Gendar fried|Cereals|Processed/Products|3.0 g|30.4 g|1.6 mg|0 mcg|407|62 mg|0 mg|216 mg|32.0 g|184 mcg|28.2 g|0 mg|0.6 mg|6.4 g|0 mcg|0.00 mg|0 mg|0.1 g|0 mg|0.16 mg|0 mg
AP050|Rice crust fried|Cereals|Processed/Products|2.0 g|6.5 g|2.5 mg|0 mcg|474|64 mg|38.0 mg|36 mg|62.3 g|200 mcg|21.6 g|0 mg|0.8 mg|7.6 g|0 mcg|0.03 mg|0.5 mg|1.2 g|0.05 mg|0.25 mg|0 mg
AP051|Corn gerontol|Cereals|Processed/Products|0.8 g|61.7 g|1.2 mg|0 mcg|156|105 mg|0 mg|51 mg|33.3 g|162 mcg|1.3 g|0 mg|0.0 mg|2.7 g|0 mcg|0.00 mg|0 mg|1.0 g|0 mg|0.08 mg|0 mg
AP052|Corn titi|Cereals|Processed/Products|0.1 g|9.2 g|2.9 mg|0 mcg|374|142 mg|0 mg|14 mg|79.1 g|11507 mcg|2.2 g|0 mg|0 mg|9.4 g|0 mcg|0 mg|0 mg|0.8 g|9.00 mg|0.20 mg|0 mg
AP053|Japilus|Cereals|Processed/Products|2.7 g|3.8 g|4.9 mg|0 mcg|500|29 mg|0 mg|186 mg|67.3 g|0 mcg|25.1 g|0 mg|0.4 mg|1.2 g|0 mcg|0.03 mg|0 mg|0.4 g|0 mg|0.17 mg|0 mg
AP054|Kakicak|Cereals|Processed/Products|0.9 g|43.9 g|0 mg|0 mcg|296|0 mg|0 mg|0 mg|36.7 g|0 mcg|15.1 g|0 mg|0 mg|3.4 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP055|Kambose|Cereals|Processed/Products|0.7 g|61.5 g|0.7 mg|256 mcg|164|36 mg|32.0 mg|16 mg|32.6 g|0 mcg|2.4 g|0 mg|0.4 mg|3.0 g|0 mcg|0.10 mg|1.6 mg|4.3 g|0.10 mg|0.10 mg|0 mg
AP056|Kapusa|Cereals|Processed/Products|1.0 g|63.5 g|1.2 mg|1374 mcg|158|115 mg|149.0 mg|79 mg|27.8 g|0 mcg|3.2 g|104 mg|0.1 mg|4.4 g|0 mcg|0.05 mg|1.1 mg|5.3 g|0.50 mg|0.06 mg|0 mg
AP057|Keddo bodong|Cereals|Processed/Products|0.6 g|33.9 g|0 mg|0 mcg|290|0 mg|0 mg|0 mg|55.2 g|0 mcg|5.7 g|0 mg|0 mg|4.6 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP058|Kelepon kue|Cereals|Processed/Products|1.2 g|49.6 g|3.3 mg|0 mcg|215|45 mg|0 mg|232 mg|41.8 g|872 mcg|3.7 g|0 mg|0.2 mg|3.7 g|0 mcg|0.07 mg|0 mg|1.0 g|0 mg|0.09 mg|0 mg
AP059|Kereput|Cereals|Processed/Products|1.0 g|3.5 g|0 mg|0 mcg|580|0 mg|0 mg|0 mg|51.1 g|0 mcg|39.6 g|0 mg|0 mg|4.8 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP060|Ketoprak|Cereals|Processed/Products|2.6 g|69.1 g|3.4 mg|0 mcg|153|134 mg|0 mg|153 mg|13.0 g|435 mcg|7.7 g|0 mg|0 mg|7.9 g|3 mcg|0 mg|0 mg|2.9 g|0 mg|0.05 mg|0 mg
AP061|Ketupat kandangan|Cereals|Processed/Products|0.7 g|78.5 g|0 mg|0 mcg|109|0 mg|0 mg|0 mg|13.4 g|0 mcg|5.2 g|0 mg|0 mg|2.2 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP062|Koya|Cereals|Processed/Products|0.8 g|13.2 g|7.0 mg|0 mcg|366|222 mg|0 mg|153 mg|77.5 g|0 mcg|4.3 g|0 mg|0 mg|4.2 g|0 mcg|0 mg|0 mg|0.8 g|0 mg|0 mg|0 mg
AP063|Koya mirasa|Cereals|Processed/Products|1.6 g|7.2 g|17.0 mg|0 mcg|370|110 mg|0 mg|83 mg|82.2 g|144 mcg|1.0 g|0 mg|2.6 mg|8.0 g|3 mcg|0.45 mg|0 mg|0.4 g|0 mg|0.19 mg|0 mg
AP064|Koyabu|Cereals|Processed/Products|0.9 g|44.2 g|0 mg|0 mcg|241|0 mg|0 mg|0 mg|47.2 g|0 mcg|4.3 g|0 mg|0 mg|3.4 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP065|Kue ali|Cereals|Processed/Products|0.4 g|12.8 g|2.5 mg|0 mcg|440|47 mg|0 mg|27 mg|64.5 g|0 mcg|18.5 g|0 mg|0.0 mg|3.8 g|0 mcg|0.09 mg|0 mg|0.3 g|0 mg|0.13 mg|0 mg
AP066|Kue bangen|Cereals|Processed/Products|2.2 g|5.6 g|0 mg|0 mcg|442|0 mg|0 mg|0 mg|74.2 g|0 mcg|14.7 g|0 mg|0 mg|3.3 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP067|Kue gelang|Cereals|Processed/Products|1.0 g|7.1 g|0 mg|0 mcg|448|0 mg|0 mg|0 mg|70.0 g|0 mcg|16.1 g|0 mg|0 mg|5.8 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP068|Ginger cookie|Cereals|Processed/Products|1.3 g|3.7 g|4.0 mg|0 mcg|425|61 mg|0 mg|155 mg|84.6 g|0 mcg|8.8 g|0 mg|0 mg|1.6 g|0 mcg|0 mg|0 mg|1.2 g|0 mg|0.20 mg|0 mg
AP069|Coconut cookie|Cereals|Processed/Products|1.5 g|3.3 g|1.6 mg|0 mcg|591|180 mg|443.0 mg|32 mg|47.5 g|0 mcg|42.1 g|33 mg|0 mg|5.6 g|0 mcg|0 mg|1.1 mg|0 g|0.50 mg|0 mg|0 mg
AP070|Kue koa|Cereals|Processed/Products|1.0 g|14.5 g|0 mg|0 mcg|340|0 mg|0 mg|0 mg|79.3 g|0 mcg|0.4 g|0 mg|0 mg|4.8 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP071|Kue ku temu|Cereals|Processed/Products|0.5 g|46.2 g|0 mg|0 mcg|214|0 mg|0 mg|0 mg|49.6 g|0 mcg|0.2 g|0 mg|0 mg|3.5 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP072|Kue lumpur|Cereals|Processed/Products|1.1 g|40.1 g|2.3 mg|0 mcg|291|60 mg|0 mg|96 mg|44.1 g|400 mcg|11.1 g|0 mg|0 mg|3.6 g|20 mcg|0 mg|0 mg|0 g|0 mg|0.24 mg|0 mg
AP073|Kue pelita|Cereals|Processed/Products|0.6 g|71.0 g|0 mg|0 mcg|141|0 mg|0 mg|0 mg|17.6 g|0 mcg|5.5 g|0 mg|0 mg|5.3 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP074|Kue putu cangkir|Cereals|Processed/Products|0.2 g|32.6 g|4.0 mg|0 mcg|304|193 mg|0 mg|18 mg|54.9 g|0 mcg|7.0 g|0 mg|0 mg|5.3 g|0 mcg|0 mg|0 mg|0.9 g|0 mg|0.06 mg|0 mg
AP075|Eclairs|Cereals|Processed/Products|0.9 g|56.6 g|2.5 mg|0 mcg|221|85 mg|0 mg|105 mg|24.8 g|1300 mcg|10.2 g|0 mg|0 mg|7.5 g|26 mcg|0 mg|0 mg|0 g|0 mg|0.12 mg|0 mg
AP076|Kue thipan|Cereals|Processed/Products|0.4 g|43.0 g|1.8 mg|0 mcg|247|107 mg|56.0 mg|16 mg|49.5 g|0 mcg|4.2 g|95 mg|0 mg|2.9 g|0 mcg|0 mg|0.8 mg|0 g|1.30 mg|0.17 mg|0 mg
AP077|Laksa/Putu mayang|Cereals|Processed/Products|0.6 g|73.2 g|0 mg|0 mcg|121|0 mg|0 mg|0 mg|21.1 g|0 mcg|3.4 g|0 mg|0 mg|1.7 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP078|Lapis legit|Cereals|Processed/Products|0.9 g|21.3 g|1.9 mg|0 mcg|389|136 mg|0 mg|16 mg|55.5 g|1032 mcg|15.7 g|0 mg|3.0 mg|6.6 g|41 mcg|0.09 mg|0 mg|0.5 g|0 mg|0.26 mg|0 mg
AP079|Glutinous rice lupis|Cereals|Processed/Products|0.6 g|61.0 g|1.5 mg|0 mcg|164|31 mg|0 mg|119 mg|34.5 g|0 mcg|2.1 g|0 mg|0.2 mg|1.8 g|0 mcg|0.00 mg|0 mg|0.7 g|0 mg|0.09 mg|0 mg
AP080|Manan samin|Cereals|Processed/Products|0.8 g|27.1 g|0 mg|0 mcg|379|0 mg|0 mg|0 mg|50.6 g|0 mcg|18.1 g|0 mg|0 mg|3.4 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP081|Indian martabak|Cereals|Processed/Products|1.2 g|65.8 g|2.4 mg|0 mcg|153|108 mg|112.0 mg|14 mg|24.3 g|0 mcg|4.2 g|240 mg|0 mg|4.5 g|0 mcg|0 mg|0.5 mg|0 g|0.40 mg|0 mg|0 mg
AP082|Egyptian martabak|Cereals|Processed/Products|1.1 g|40.2 g|3.4 mg|0 mcg|278|168 mg|123.0 mg|49 mg|45.0 g|0 mcg|8.6 g|193 mg|0 mg|5.1 g|0 mcg|0 mg|0.9 mg|0 g|0.20 mg|0 mg|0 mg
AP083|Masekat|Cereals|Processed/Products|0.8 g|15.6 g|0.8 mg|0 mcg|369|52 mg|12.0 mg|17 mg|74.1 g|0 mcg|7.0 g|141 mg|0 mg|2.1 g|155 mcg|0 mg|0.3 mg|4.0 g|0.40 mg|0 mg|0 mg
AP084|Mie aceh boiled|Cereals|Processed/Products|1.1 g|74.6 g|1.4 mg|0 mcg|113|44 mg|36.0 mg|22 mg|18.1 g|0 mcg|3.2 g|191 mg|0.0 mg|3.0 g|0 mcg|0.00 mg|0.3 mg|0 g|0.20 mg|0.00 mg|0 mg
AP085|Mie ayam|Cereals|Processed/Products|0.8 g|78.6 g|1.8 mg|0 mcg|102|51 mg|0 mg|262 mg|10.5 g|166 mcg|3.9 g|279 mg|0.0 mg|6.2 g|39 mcg|0 mg|0 mg|0 g|0 mg|0.85 mg|0 mg
AP086|Mie bakso|Cereals|Processed/Products|0.8 g|74.5 g|1.9 mg|0 mcg|114|53 mg|0 mg|286 mg|16.4 g|180 mcg|3.0 g|760 mg|0 mg|5.3 g|17 mcg|0 mg|0 mg|0.1 g|0 mg|0.16 mg|0 mg
AP087|Mie celon|Cereals|Processed/Products|1.2 g|75.9 g|1.4 mg|0 mcg|102|84 mg|112.0 mg|12 mg|17.8 g|0 mcg|2.1 g|451 mg|0.0 mg|3.0 g|0 mcg|0.00 mg|0.5 mg|0 g|0.10 mg|0.00 mg|0 mg
AP088|Mie pangsit wet|Cereals|Processed/Products|0.7 g|79.2 g|2.0 mg|0 mcg|105|48 mg|0 mg|208 mg|9.4 g|620 mcg|4.9 g|530 mg|0 mg|5.9 g|25 mcg|0 mg|0 mg|0 g|0 mg|0.46 mg|0 mg
AP089|Nasi gemuk|Cereals|Processed/Products|1.6 g|61.4 g|1.0 mg|0 mcg|192|74 mg|63.0 mg|15 mg|24.4 g|0 mcg|8.8 g|355 mg|2.0 mg|3.8 g|0 mcg|0.05 mg|1.4 mg|0.7 g|0.20 mg|0.19 mg|0 mg
AP090|Nasi gurih|Cereals|Processed/Products|1.3 g|60.5 g|0.8 mg|0 mcg|190|62 mg|52.0 mg|12 mg|26.0 g|0 mcg|7.5 g|296 mg|2.1 mg|4.7 g|0 mcg|0.06 mg|1.2 mg|0.7 g|0.20 mg|0.11 mg|0 mg
AP091|Nasi minyak|Cereals|Processed/Products|1.1 g|53.3 g|1.5 mg|0 mcg|207|100 mg|174.0 mg|26 mg|37.1 g|0 mcg|5.0 g|74 mg|2.6 mg|3.5 g|0 mcg|0.07 mg|2.2 mg|0.8 g|0.20 mg|0.14 mg|0 mg
AP092|Nasi rames|Cereals|Processed/Products|0.6 g|65.8 g|1.8 mg|0 mcg|155|62 mg|0 mg|239 mg|19.1 g|3140 mcg|4.2 g|265 mg|0 mg|10.3 g|96 mcg|0.00 mg|0 mg|0 g|0 mg|0.59 mg|0 mg
AP093|Nopia special|Cereals|Processed/Products|1.3 g|11.5 g|4.2 mg|0 mcg|387|133 mg|0 mg|903 mg|74.3 g|512 mcg|7.6 g|0 mg|0 mg|5.3 g|0 mcg|0 mg|0 mg|0.3 g|0 mg|0.17 mg|0 mg
AP094|Onde-onde|Cereals|Processed/Products|0.6 g|27.7 g|0 mg|0 mcg|336|0 mg|0 mg|0 mg|57.9 g|0 mcg|9.8 g|0 mg|0 mg|4.0 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP095|Padamaran|Cereals|Processed/Products|0.8 g|67.6 g|0 mg|0 mcg|171|0 mg|0 mg|0 mg|18.8 g|0 mcg|8.9 g|0 mg|0 mg|3.9 g|0 mcg|0 mg|0 mg|0 g|0 mg|0 mg|0 mg
AP096|Pastel|Cereals|Processed/Products|1.5 g|38.3 g|2.5 mg|0 mcg|307|53 mg|0 mg|296 mg|42.4 g|5360 mcg|13.3 g|0 mg|0 mg|4.5 g|0 mcg|0 mg|0 mg|0 g|0 mg|0.15 mg|0 mg
AP097|Pulut|Cereals|Processed/Products|0.8 g|49.1 g|3.8 mg|0 mcg|216|70 mg|22.0 mg|6 mg|44.4 g|0 mcg|3.1 g|100 mg|0 mg|2.6 g|0 mcg|0 mg|1.3 mg|0 g|0.40 mg|0.14 mg|0 mg
