FOOD_CODE|Name|Group|Type
AP085|Mie ayam|Cereals|Processed/Products
AP086|Mie bakso|Cereals|Processed/Products
AP087|Mie celon|Cereals|Processed/Products
AP088|Mie pangsit, wet|Cereals|Processed/Products
AP089|Nasi gemuk|Cereals|Processed/Products
AP090|Nasi gurih|Cereals|Processed/Products
AP091|Nasi minyak|Cereals|Processed/Products
AP092|Nasi rames|Cereals|Processed/Products
AP093|Nopia special|Cereals|Processed/Products
AP094|Onde-onde|Cereals|Processed/Products
AP095|Padamaran|Cereals|Processed/Products
AP096|Pastel|Cereals|Processed/Products
AP097|Pulut|Cereals|Processed/Products
AP098|Rice pundut|Cereals|Processed/Products
AP100|Putri selat|Cereals|Processed/Products
AP101|Putu sopa|Cereals|Processed/Products
AP102|Renggi, fried|Cereals|Processed/Products
AP103|Roti boong|Cereals|Processed/Products
AP104|Bun, dark brown skin|Cereals|Processed/Products
AP105|Sarimuka|Cereals|Processed/Products
AP106|Spaghetti|Cereals|Processed/Products
AP107|Glutinous rice srikaya|Cereals|Processed/Products
AP108|Sunduk lawang|Cereals|Processed/Products
AP109|Suwir-suwir|Cereals|Processed/Products
AP110|Tipa-tipa|Cereals|Processed/Products
AP111|Wajit, kue|Cereals|Processed/Products
AP112|Widaran|Cereals|Processed/Products
AP113|Wingko babat|Cereals|Processed/Products
AP114|Yangko|Cereals|Processed/Products
AP99|Putri hijau|Cereals|Processed/Products
AR001|Rice, milled, raw|Cereals|Raw
AR002|Rice, milled, variant pelita, raw|Cereals|Raw
AR003|Rice, milled, variant rojolele, raw|Cereals|Raw
AR004|Rice, black, raw|Cereals|Raw
AR005|Corn rice, yellow, dried, raw|Cereals|Raw
AR006|Corn rice, white, dried, raw|Cereals|Raw
AR007|Glutinous rice, black, mashed, raw|Cereals|Raw
AR008|Glutinous rice, white, mashed, raw|Cereals|Raw
AR009|Field rice, raw|Cereals|Raw
AR010|Small broken rice, raw|Cereals|Raw
AR011|Rice, parboiled|Cereals|Raw
AR012|Rice, mashed, raw|Cereals|Raw
AR013|Rice, red, mashed, raw|Cereals|Raw
AR014|Sorghum, raw|Cereals|Raw
AR015|Baby corn, yellow, raw|Cereals|Raw
AR016|Corn, yellow, shelled, dried, raw|Cereals|Raw
AR017|Corn, shelled, variant harapan, dried|Cereals|Raw
AR018|Corn, shelled, variant metro, dried|Cereals|Raw
AR019|Barley, raw|Cereals|Raw
AR020|Millet, raw|Cereals|Raw
AR021|Jampang huma, raw|Cereals|Raw
BP001|Batatas, coconut, tubers, grilled|Starchy Roots & Tubers|Processed/Products
BP002|Batatas, coconut, tubers, steamed|Starchy Roots & Tubers|Processed/Products
BP003|Batatas tali, tubers, boiled|Starchy Roots & Tubers|Processed/Products
BP004|Belitung, taro, steamed|Starchy Roots & Tubers|Processed/Products
BP005|Bentul, taro, steamed|Starchy Roots & Tubers|Processed/Products
BP006|Gadung, yam, steamed|Starchy Roots & Tubers|Processed/Products
BP007|Ganyong, boiled|Starchy Roots & Tubers|Processed/Products
BP008|Cassava, steamed|Starchy Roots & Tubers|Processed/Products
BP009|Elephant foot, yam, steamed|Starchy Roots & Tubers|Processed/Products
BP010|Taro, steamed|Starchy Roots & Tubers|Processed/Products
BP011|Sweet potato, yellow, steamed|Starchy Roots & Tubers|Processed/Products
BP012|Chinese yam, steamed|Starchy Roots & Tubers|Processed/Products
BP013|Bagea, coconut, savory|Starchy Roots & Tubers|Processed/Products
BP014|Bagea, coconut, sweet|Starchy Roots & Tubers|Processed/Products
BP015|Bagea, pili nut, savory|Starchy Roots & Tubers|Processed/Products
BP016|Bagea, pili nut, sweet|Starchy Roots & Tubers|Processed/Products
BP017|Bagea, quality 1|Starchy Roots & Tubers|Processed/Products
BP018|Bagea, quality 2|Starchy Roots & Tubers|Processed/Products
BP019|"Rice, ""Cerdas"""|Starchy Roots & Tubers|Processed/Products
BP020|Rice, ganyong|Starchy Roots & Tubers|Processed/Products
BP021|Rice, siger|Starchy Roots & Tubers|Processed/Products
BP022|Jackfruit/snakefruit, seeds|Starchy Roots & Tubers|Processed/Products
BP023|Sago porridge|Starchy Roots & Tubers|Processed/Products
BP024|Cassavastick|Starchy Roots & Tubers|Processed/Products
BP025|Cassava, ceriping getuk|Starchy Roots & Tubers|Processed/Products
BP026|Gatot|Starchy Roots & Tubers|Processed/Products
BP027|Geblek|Starchy Roots & Tubers|Processed/Products
BP028|Getuk, fried|Starchy Roots & Tubers|Processed/Products
BP029|Cassava, getuk|Starchy Roots & Tubers|Processed/Products
BP030|Gurandil|Starchy Roots & Tubers|Processed/Products
BP031|Kabuto|Starchy Roots & Tubers|Processed/Products
BP032|Kapurung|Starchy Roots & Tubers|Processed/Products
BP033|Cassava, kecimpring, fried|Starchy Roots & Tubers|Processed/Products
BP034|Keremes|Starchy Roots & Tubers|Processed/Products
BP035|Gadung, chips|Starchy Roots & Tubers|Processed/Products
BP036|Potato, chips|Starchy Roots & Tubers|Processed/Products
BP037|Cassava, chips|Starchy Roots & Tubers|Processed/Products
BP038|Cassava, chips, seasoned|Starchy Roots & Tubers|Processed/Products
BP039|Sweet potato, chips|Starchy Roots & Tubers|Processed/Products
BP040|Squid, chips, fried|Starchy Roots & Tubers|Processed/Products
BP041|Kemplang  (fish), chips, raw|Starchy Roots & Tubers|Processed/Products
BP042|Kemplang, chips, fried|Starchy Roots & Tubers|Processed/Products
BP043|Kemplang, chips, roasted|Starchy Roots & Tubers|Processed/Products
BP044|Yellow, noodle, chips, fried|Starchy Roots & Tubers|Processed/Products
BP045|Shrimp, chips, fried|Starchy Roots & Tubers|Processed/Products
BP046|Bangket, kue|Starchy Roots & Tubers|Processed/Products
BP047|Putu singkong, kue|Starchy Roots & Tubers|Processed/Products
BP048|Lanting getuk|Starchy Roots & Tubers|Processed/Products
BP049|Noodle, golosor|Starchy Roots & Tubers|Processed/Products
BP050|Noodle, bendo|Starchy Roots & Tubers|Processed/Products
BP051|Noodle, sago|Starchy Roots & Tubers|Processed/Products
BP052|Sago, ongol-ongol|Starchy Roots & Tubers|Processed/Products
BP053|Oyek|Starchy Roots & Tubers|Processed/Products
BP054|Papeda|Starchy Roots & Tubers|Processed/Products
BP055|Rasbi (Sweet potato rice)|Starchy Roots & Tubers|Processed/Products
BP056|Rasi (Cassava rice)|Starchy Roots & Tubers|Processed/Products
BP057|Forno sago|Starchy Roots & Tubers|Processed/Products
BP058|Sagu lemak (Kue Sagon)|Starchy Roots & Tubers|Processed/Products
BP059|Sweet sago|Starchy Roots & Tubers|Processed/Products
BP060|Sagu rendang|Starchy Roots & Tubers|Processed/Products
BP061|Sinole sago|Starchy Roots & Tubers|Processed/Products
BP062|Taro, serimping, from Kebumen|Starchy Roots & Tubers|Processed/Products
BP063|Cassava, tapai|Starchy Roots & Tubers|Processed/Products
BP064|Arrowroot, flour|Starchy Roots & Tubers|Processed/Products
BP065|Ganyong, flour|Starchy Roots & Tubers|Processed/Products
BP066|Cassava, sliced, dried, flour|Starchy Roots & Tubers|Processed/Products
BP067|Potato, flour, dried|Starchy Roots & Tubers|Processed/Products
BP068|Mocaf (Modified cassava flour)|Starchy Roots & Tubers|Processed/Products
BP069|Giant taro, flour|Starchy Roots & Tubers|Processed/Products
BP070|Tapioca, flour|Starchy Roots & Tubers|Processed/Products
BP071|Taro Beneng, flour|Starchy Roots & Tubers|Processed/Products
BP072|Sweet potato, purple, flour|Starchy Roots & Tubers|Processed/Products
BP073|Tiwul|Starchy Roots & Tubers|Processed/Products
BP074|Tiwul, instant|Starchy Roots & Tubers|Processed/Products
BP075|Sweet potato, Cilembu|Starchy Roots & Tubers|Processed/Products
BP076|Uli batatas|Starchy Roots & Tubers|Processed/Products
BR001|Arrowroot, fresh|Starchy Roots & Tubers|Raw
BR002|Batatas, lesser yam, fresh|Starchy Roots & Tubers|Raw
BR003|Batatas, coconut, tubers, fresh|Starchy Roots & Tubers|Raw
BR004|Belitung, taro, fresh|Starchy Roots & Tubers|Raw
BR005|Jicama, fresh|Starchy Roots & Tubers|Raw
BR006|Bentul (Komba),  taro, fresh|Starchy Roots & Tubers|Raw
BR007|Gadeng/Gadung, dried|Starchy Roots & Tubers|Raw
BR008|Gadung, yam, fresh|Starchy Roots & Tubers|Raw
BR009|Ganyong, fresh|Starchy Roots & Tubers|Raw
BR010|Lesser yam, tuber, fresh|Starchy Roots & Tubers|Raw
BR011|Hofa/wild tuber, fresh|Starchy Roots & Tubers|Raw
BR012|Kaburan, tuber, fresh|Starchy Roots & Tubers|Raw
BR013|Potato, fresh|Starchy Roots & Tubers|Raw
BR014|Potato, shetland black, fresh|Starchy Roots & Tubers|Raw
BR015|Keribang, tuber, fresh|Starchy Roots & Tubers|Raw
BR016|Cassava, fresh|Starchy Roots & Tubers|Raw
BR017|Lepok/Nut-grass tuber|Starchy Roots & Tubers|Raw
BR018|Sago, aren, dried|Starchy Roots & Tubers|Raw
BR019|Sago, aren, fresh|Starchy Roots & Tubers|Raw
BR020|Sago, kasbi, fresh|Starchy Roots & Tubers|Raw
BR021|Sago, lempeng|Starchy Roots & Tubers|Raw
BR022|Sago, cassava, dried|Starchy Roots & Tubers|Raw
BR023|Giant taro, taro, fresh|Starchy Roots & Tubers|Raw
BR024|Elephant foot, yam, fresh|Starchy Roots & Tubers|Raw
BR025|Taro, fresh|Starchy Roots & Tubers|Raw
BR026|Taro, Pontianak, fresh|Starchy Roots & Tubers|Raw
BR027|Taro, viqueque, fresh|Starchy Roots & Tubers|Raw
BR028|Sweet potato, yellow, fresh|Starchy Roots & Tubers|Raw
BR029|Sweet potato, fresh|Starchy Roots & Tubers|Raw
BR030|Sweet potato, red, fresh|Starchy Roots & Tubers|Raw
BR031|Sweet potato, white, fresh|Starchy Roots & Tubers|Raw
BR032|Chinese yam|Starchy Roots & Tubers|Raw
BR033|Purple yam, fresh|Starchy Roots & Tubers|Raw
CP001|Winged bean, boiled|Grains and Legumes|Processed/Products
CP002|Bambara groundnut, fried|Grains and Legumes|Processed/Products
CP003|Bambara groundnut, boiled|Grains and Legumes|Processed/Products
CP004|Pigeon pea, boiled|Grains and Legumes|Processed/Products
CP005|Mungbean, boiled|Grains and Legumes|Processed/Products
CP006|Soybean, fried|Grains and Legumes|Processed/Products
CP007|Soybean, boiled|Grains and Legumes|Processed/Products
CP008|Kidney bean, dried, boiled|Grains and Legumes|Processed/Products
CP009|Kidney bean, fresh, boiled|Grains and Legumes|Processed/Products
CP010|Cashew nut, fried|Grains and Legumes|Processed/Products
CP011|Peanut, boiled, with shells|Grains and Legumes|Processed/Products
CP012|Peanut, fried|Grains and Legumes|Processed/Products
CP013|Peanut, boiled|Grains and Legumes|Processed/Products
CP014|Black-eyed pea, boiled|Grains and Legumes|Processed/Products
CP015|Mungbean, dregs|Grains and Legumes|Processed/Products
CP016|Tofu, dregs, raw|Grains and Legumes|Processed/Products
CP017|Tofu, dregs, steamed|Grains and Legumes|Processed/Products
CP018|Tofu, dregs, dried|Grains and Legumes|Processed/Products
CP019|Tofu, dregs, oncom pepes|Grains and Legumes|Processed/Products
CP020|Rubber seeds, bungkil|Grains and Legumes|Processed/Products
CP021|Peanut, bungkil|Grains and Legumes|Processed/Products
CP022|Coconut, bungkil|Grains and Legumes|Processed/Products
CP023|Dodol (taffy) banjarmasin|Grains and Legumes|Processed/Products
CP024|Emping (melinjo chips)|Grains and Legumes|Processed/Products
CP025|Hyacinth bean, emping|Grains and Legumes|Processed/Products
CP026|Enting-enting gepuk, brand hello kity|Grains and Legumes|Processed/Products
CP027|Enting-enting gepuk, peanut|Grains and Legumes|Processed/Products
CP028|Enting-enting, sesame|Grains and Legumes|Processed/Products
CP029|Geplak|Grains and Legumes|Processed/Products
CP030|Geplak jahe (Ginger taffy)|Grains and Legumes|Processed/Products
CP031|Kacang atom|Grains and Legumes|Processed/Products
CP032|Kacang goyang|Grains and Legumes|Processed/Products
CP033|Kacang negara|Grains and Legumes|Processed/Products
CP034|Kacang sukro|Grains and Legumes|Processed/Products
CP035|Kacang tanah sari|Grains and Legumes|Processed/Products
CP036|Peanut butter|Grains and Legumes|Processed/Products
CP037|Beancurd|Grains and Legumes|Processed/Products
CP038|Beancurd, steamed|Grains and Legumes|Processed/Products
CP039|Oncom, chips|Grains and Legumes|Processed/Products
CP040|Tempeh, chips|Grains and Legumes|Processed/Products
CP041|Tempeh, chips, brand abadi, large size|Grains and Legumes|Processed/Products
CP042|Tempeh, chips, brand abadi, original|Grains and Legumes|Processed/Products
CP043|Tempeh, chips, brand abadi, medium size|Grains and Legumes|Processed/Products
CP044|Tempeh, chips, brand abadi, with egg|Grains and Legumes|Processed/Products
CP045|Tempeh, chips, brand abadi, prime quality|Grains and Legumes|Processed/Products
CP046|Kwaci (dried sunflower seeds)|Grains and Legumes|Processed/Products
CP047|Melinjo, emping, thick, fried, sweet|Grains and Legumes|Processed/Products
CP048|Melinjo, emping, thick, fried, savory|Grains and Legumes|Processed/Products
CP049|Melinjo, emping, thin, fried|Grains and Legumes|Processed/Products
CP050|Moon tofu|Grains and Legumes|Processed/Products
CP051|Oncom|Grains and Legumes|Processed/Products
CP052|Oncom, mungbean, dregs|Grains and Legumes|Processed/Products
CP053|Oncom, mungbean + cassava|Grains and Legumes|Processed/Products
CP054|Oncom, peanut, pepes|Grains and Legumes|Processed/Products
CP055|Rempeyek, with peanut|Grains and Legumes|Processed/Products
CP056|Rempeyek, with black-eyed pea|Grains and Legumes|Processed/Products
CP057|Rempeyek, with ricebean|Grains and Legumes|Processed/Products
CP058|Sayur lebui|Grains and Legumes|Processed/Products
CP059|Soybean milk, powder|Grains and Legumes|Processed/Products
CP060|Soybean milk|Grains and Legumes|Processed/Products
CP061|Tofu, uncooked|Grains and Legumes|Processed/Products
CP062|Tofu, fried|Grains and Legumes|Processed/Products
CP063|Egg tofu|Grains and Legumes|Processed/Products
CP064|Takwa|Grains and Legumes|Processed/Products
CP065|Tauco|Grains and Legumes|Processed/Products
CP066|Tauco, brand beruang, cake|Grains and Legumes|Processed/Products
CP067|Tauco, brand DAS, cake|Grains and Legumes|Processed/Products
CP068|Tauco, brand meong|Grains and Legumes|Processed/Products
CP069|Tauji, brand singa|Grains and Legumes|Processed/Products
CP070|Tempeh bongkrek|Grains and Legumes|Processed/Products
CP071|Tempeh gembus P3G|Grains and Legumes|Processed/Products
CP072|Tempeh gembus yogya|Grains and Legumes|Processed/Products
CP073|Tempeh, velvet bean|Grains and Legumes|Processed/Products
CP074|Tempeh, winged bean|Grains and Legumes|Processed/Products
CP075|Tempeh, soybean + corn|Grains and Legumes|Processed/Products
CP076|Tempeh, pure soybean, fried|Grains and Legumes|Processed/Products
CP077|Tempeh, pure soybean, uncooked|Grains and Legumes|Processed/Products
CP078|Tempeh, hyacinth bean, benguk|Grains and Legumes|Processed/Products
CP079|Tempeh, river tamarind|Grains and Legumes|Processed/Products
CP080|Tempeh, river tamarind, variant gung with skin|Grains and Legumes|Processed/Products
CP081|Tempeh, river tamarind, variant gung without skin|Grains and Legumes|Processed/Products
CP082|Tempeh, sold in market|Grains and Legumes|Processed/Products
CP083|Tempeh, sold in market, fried|Grains and Legumes|Processed/Products
CP084|Hunkwe, flour (Mungbean starch)|Grains and Legumes|Processed/Products
CP085|Jalejo, flour|Grains and Legumes|Processed/Products
CP086|Soybean, flour|Grains and Legumes|Processed/Products
CR001|Chickpea, dried|Grains and Legumes|Raw
CR002|Velvet bean, dried|Grains and Legumes|Raw
CR003|Winged bean, dried|Grains and Legumes|Raw
CR004|Castor bean, fresh|Grains and Legumes|Raw
CR005|Bambara groundnut, dried|Grains and Legumes|Raw
CR006|Bambara groundnut, fresh|Grains and Legumes|Raw
CR007|Ricebean, seeds, dried|Grains and Legumes|Raw
CR008|Green pea, fresh|Grains and Legumes|Raw
CR009|Galing nut, fresh|Grains and Legumes|Raw
CR010|Pigeon pea, seeds, dried|Grains and Legumes|Raw
CR011|Pigeon pea, seeds, fresh|Grains and Legumes|Raw
CR012|Mungbean, variant bakti, dried|Grains and Legumes|Raw
CR013|Mungbean, variant siwalik, dried|Grains and Legumes|Raw
CR014|Mungbean, dried|Grains and Legumes|Raw
CR015|Black soybean, dried|Grains and Legumes|Raw
CR016|Edible-podded pea, fresh|Grains and Legumes|Raw
CR017|Soybean, dried|Grains and Legumes|Raw
CR018|Soybean, fresh|Grains and Legumes|Raw
CR019|Kincai nut, dried|Grains and Legumes|Raw
CR020|Hyacinth bean, fresh|Grains and Legumes|Raw
CR021|Lentils, yellow, dried|Grains and Legumes|Raw
CR022|Pigeon pea, dried|Grains and Legumes|Raw
CR023|Butter nut, dried|Grains and Legumes|Raw
CR024|Kidney bean (Banda), dried|Grains and Legumes|Raw
CR025|Kidney bean, dark red, dried|Grains and Legumes|Raw
CR026|Kidney bean, dried|Grains and Legumes|Raw
CR027|Kidney bean, fresh|Grains and Legumes|Raw
CR028|Cashew nut, fresh|Grains and Legumes|Raw
CR029|Yardlong bean, seeds, dried|Grains and Legumes|Raw
CR030|Peanut, seeds|Grains and Legumes|Raw
CR031|Peanut, seeds, without husk|Grains and Legumes|Raw
CR032|Peanut, dried|Grains and Legumes|Raw
CR033|Black-eyed pea, dried|Grains and Legumes|Raw
CR034|Pigeon pea, dried|Grains and Legumes|Raw
CR035|Ricebean, dried|Grains and Legumes|Raw
CR036|Urei nut, dried|Grains and Legumes|Raw
CR037|Pili nut (Banda), dried|Grains and Legumes|Raw
CR038|Pili nut, dried|Grains and Legumes|Raw
CR039|Hyacinth bean, pod, fresh|Grains and Legumes|Raw
CR040|Hyacinth bean, andong, dried|Grains and Legumes|Raw
CR041|Hyacinth bean, benguk, seeds, dried|Grains and Legumes|Raw
CR042|Hyacinth bean, kerupuk, seeds, fresh|Grains and Legumes|Raw
CR043|Hyacinth bean, loke, seeds, fresh|Grains and Legumes|Raw
CR044|Hyacinth bean, roay, dried|Grains and Legumes|Raw
CR045|Hyacinth bean, wedus, seeds, dried|Grains and Legumes|Raw
CR046|River tamarind, seeds, young, fresh|Grains and Legumes|Raw
CR047|River tamarind, seeds, old, fresh|Grains and Legumes|Raw
CR048|River tamarind, variant gung, without skin|Grains and Legumes|Raw
CR049|River tamarind, variant local, with skin|Grains and Legumes|Raw
CR050|Jackfruit, seeds, fresh|Grains and Legumes|Raw
CR051|Red saga, peeled, raw|Grains and Legumes|Raw
CR052|Sesame, raw|Grains and Legumes|Raw
DP001|Spinach, steamed|Vegetables|Processed/Products
DP002|Spinach, boiled|Vegetables|Processed/Products
DP003|Bean, boiled|Vegetables|Processed/Products
DP004|long beans leaves, boiled|Vegetables|Processed/Products
DP005|Sweet leaves, boiled|Vegetables|Processed/Products
DP006|Moringa leaves, boiled|Vegetables|Processed/Products
DP007|Indian mulberry, steamed|Vegetables|Processed/Products
DP008|Cassava leaves, boiled|Vegetables|Processed/Products
DP009|Taro leaves, boiled|Vegetables|Processed/Products
DP010|Red sweet potato, steamed|Vegetables|Processed/Products
DP011|Yardlong beans, steamed|Vegetables|Processed/Products
DP012|Yardlong beans, boiled|Vegetables|Processed/Products
DP013|Water spinach, steamed|Vegetables|Processed/Products
DP014|Water spinach, boiled|Vegetables|Processed/Products
DP015|White bitter melon, steamed|Vegetables|Processed/Products
DP016|Lettuce, boiled|Vegetables|Processed/Products
DP017|Sprouts, fried|Vegetables|Processed/Products
DP018|Sprouts, brewed|Vegetables|Processed/Products
DP019|Long eggpalnt, steamed|Vegetables|Processed/Products
DP020|Carrot, boiled|Vegetables|Processed/Products
DP021|Carrot, steamed|Vegetables|Processed/Products
DP022|Bogor pickled, vegetables|Vegetables|Processed/Products
DP023|Anyang, vegetables|Vegetables|Processed/Products
DP024|Ares, vegetables|Vegetables|Processed/Products
DP025|Arwan sisir|Vegetables|Processed/Products
DP026|Beberuk|Vegetables|Processed/Products
DP027|Lamtoro wrapped in banana leaves|Vegetables|Processed/Products
DP028|Taro wrapped in banana leaves|Vegetables|Processed/Products
DP029|Cammetutu|Vegetables|Processed/Products
DP030|Cap cai, vegetables|Vegetables|Processed/Products
DP031|Gado-gado|Vegetables|Processed/Products
DP032|Gudeg, vegetables|Vegetables|Processed/Products
DP033|Fern curry|Vegetables|Processed/Products
DP034|Pliek curry|Vegetables|Processed/Products
DP035|Kadada katembe|Vegetables|Processed/Products
DP036|Kaparende, vegetables|Vegetables|Processed/Products
DP037|Karedok, vegetables|Vegetables|Processed/Products
DP038|Spinach chips|Vegetables|Processed/Products
DP039|Kotiu hinela tawang nggole|Vegetables|Processed/Products
DP040|Lema/ Bamboo shoots sour|Vegetables|Processed/Products
DP041|Lilin bungkus gedi|Vegetables|Processed/Products
DP042|Olah-olah|Vegetables|Processed/Products
DP043|Paku hinela wulelenggapaya|Vegetables|Processed/Products
DP044|Water spinach pelecing|Vegetables|Processed/Products
DP045|Purundawa|Vegetables|Processed/Products
DP046|Rujak cingur|Vegetables|Processed/Products
DP047|Sour soup|Vegetables|Processed/Products
DP048|Papaya flower soup|Vegetables|Processed/Products
DP049|Garu soup|Vegetables|Processed/Products
DP050|Kohu-kohu soup|Vegetables|Processed/Products
DP051|Terubuk candle soup|Vegetables|Processed/Products
DP052|Ndusuk soup|Vegetables|Processed/Products
DP053|Soup|Vegetables|Processed/Products
DP054|Coconut umbut soup|Vegetables|Processed/Products
DP055|Rattan umbut soup|Vegetables|Processed/Products
DP056|Shabu-shabu|Vegetables|Processed/Products
DP057|Jengkol stew|Vegetables|Processed/Products
DP058|Tinira ninahu nggaluku|Vegetables|Processed/Products
DP059|Sauted spinach with coconut milk|Vegetables|Processed/Products
DP060|Balamak pumpkin|Vegetables|Processed/Products
DP061|Woku sweet potato|Vegetables|Processed/Products
DR001|Lotus root, fresh|Vegetables|Raw
DR002|Bean sprouts, fresh|Vegetables|Raw
DR003|Andaliman, fresh|Vegetables|Raw
DR004|Endive, fresh|Vegetables|Raw
DR005|Welsh onion, fresh|Vegetables|Raw
DR006|Ash gourd, fresh|Vegetables|Raw
DR007|Onion, fresh|Vegetables|Raw
DR008|Spinach, fresh|Vegetables|Raw
DR009|Red spinach, fresh|Vegetables|Raw
DR010|Beets, fresh|Vegetables|Raw
DR011|Moringa fruit|Vegetables|Raw
DR012|Red fruit|Vegetables|Raw
DR013|Bean, fresh|Vegetables|Raw
DR014|Papaya flower, fresh|Vegetables|Raw
DR015|Vegetable-hummingbird flower, fresh|Vegetables|Raw
DR016|Choy sum, fresh|Vegetables|Raw
DR017|Mexican mint, fresh|Vegetables|Raw
DR018|Shallot, leaf, fresh|Vegetables|Raw
DR019|Premna leaves, fresh|Vegetables|Raw
DR020|Belem leaf, fresh|Vegetables|Raw
DR021|Indian camphorweed, leaves|Vegetables|Raw
DR022|Gandiaria leaves, fresh|Vegetables|Raw
DR023|Sunset hibiscus, big, fresh|Vegetables|Raw
DR024|Sunset hibiscus, small, fresh|Vegetables|Raw
DR025|Common purslane leaves, fresh|Vegetables|Raw
DR026|Bali goseweed leaves, fresh|Vegetables|Raw
DR027|Serang goseweed leaves, fresh|Vegetables|Raw
DR028|Chasew leaves, unripe, fresh|Vegetables|Raw
DR029|Indian goosegrass, leaves|Vegetables|Raw
DR030|Jawaw leaf seluang, fresh|Vegetables|Raw
DR031|Lilac tasselflower leaves, fresh|Vegetables|Raw
DR032|Chinese Motherwort leaves, fresh|Vegetables|Raw
DR033|Yardlong beans leaves, fresh|Vegetables|Raw
DR034|Ceara rubber leaves, fresh|Vegetables|Raw
DR035|Sweet leaves, fresh|Vegetables|Raw
DR036|Winged bean, fresh|Vegetables|Raw
DR037|Ambarella leaves, fresh|Vegetables|Raw
DR038|Moringa leaves, fresh|Vegetables|Raw
DR039|Kemang leaves, fresh|Vegetables|Raw
DR040|Cosmos leaves, fresh|Vegetables|Raw
